name,busbar,profile,pmax,pmin,vomc,inv_cost,candidate
Lo Miranda 015 I,AltoJahuel500,Profile_PV_AltoJahuel500,30.49281865,0.0,0.0,0.0,False
Loma Colorada 015 I,NuevaPandeAzucar500,Profile_SDGx01,2.825213229,0.0,0.0,0.0,False
Loma Los Colorados 110 I,Polpaico500,Profile_Cintac,1.04240626,0.0,0.0,0.0,False
Loncoche 023 I,Pichirropulli500,Profile_FV_Nuble_161,8.767903126,0.0,0.0,0.0,False
Loreto 015 I,AltoJahuel500,Profile_ElPicurio,11.00858948,0.0,0.0,0.0,False
Los Angeles B1 015 I,Concepcion500,Profile_ElPitio,29.22634375,0.0,0.0,0.0,False
Los Angeles B1 015 II,Concepcion500,Profile_ElPitio,32.14897813,0.0,0.0,0.0,False
Los Angeles B1 015 III,Concepcion500,Profile_ElPitio,40.91688125,0.0,0.0,0.0,False
Los Angeles B1 015 IV,Concepcion500,Profile_ElPitio,45.78793854,0.0,0.0,0.0,False
Los Angeles B2 015 I,Concepcion500,Profile_ElPitio,11.39827406,0.0,0.0,0.0,False
Los Angeles_SIC2 012 I,Quillota500,Profile_ElDivisadero,2.825213229,0.0,0.0,0.0,False
Los Loros 023 I,NuevaCardones500,Profile_PV_NuevaCardones500,17.84606061,0.0,0.0,0.0,False
Los Sauces 023 I,Concepcion500,Profile_ElPitio,2.922634375,0.0,0.0,0.0,False
Los Sauces 023 II,Concepcion500,Profile_ElPitio,8.767903126,0.0,0.0,0.0,False
Los Sauces 023 III,Concepcion500,Profile_ElPitio,11.6905375,0.0,0.0,0.0,False
Los Tambores 023 I,Pichirropulli500,Profile_FV_Nuble_161,2.922634375,0.0,0.0,0.0,False
Los Tambores 023 II,Pichirropulli500,Profile_FV_Nuble_161,5.84526875,0.0,0.0,0.0,False
Los Tilos 13.8 I,Concepcion500,Profile_ElPitio,11.59311635,0.0,0.0,0.0,False
Los Vilos 220 I,Quillota500,Profile_ElDivisadero,8.767903126,0.0,0.0,0.0,False
Los Vilos 220 II,Quillota500,Profile_ElDivisadero,17.53580625,0.0,0.0,0.0,False
MALGARIDA_II_ETAPA_II_FV,Cumbre500,Profile_FV_Kimal03,10.0,0.0,0.0,0.0,False
MALGARIDA_II_ETAPA_I_FV,Cumbre500,Profile_FV_Kimal03,162.7,0.0,0.0,0.0,False
MALGARIDA_I_FV,Cumbre500,Profile_FV_Kimal03,28.0,0.0,0.0,0.0,False
MARIA_ELENA_FV,Kimal220,Profile_MARIAELENAFV,67.714,0.0,0.0,0.0,False
MESETA_ DE_LOS_ANDES_FV,Polpaico500,Profile_Cintac,152.5,0.0,0.0,0.0,False
